label,id,date,user_id,text,pic_url,video_url,comment_num,repost_num,like_num
real,be3d74871a5df3a0da2a98dd32e8469f,2020-08-23 18:57,43a971db6364c4ed7cd101feca243600,【转存！#施一公说诚实做学问是绝不容突破的底线#】今天，在西湖大学博士研究生开学典礼上，校长施一公致辞时说：“新冠疫情绝不是人类面临的唯一危机或最后难题，它只是人类历史长河中又一次新的挑战。我们正在面对百年未有之大变局，要想在变局中开新局，科学与技术的价值和力量日益显现。做诚实的学问是科学研究中一条不容突破的底线。”L中新视频的微博视频,[],"http://f.video.weibocdn.com/DJBbVGUwlx07FRoDjauY01041200tpih0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&media_id=4541104486547464&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=h&lp=0000hUDeH&ps=4pdsh0&uid=7NVSz0&ab=3331-g1,966-g1&Expires=1600306118&ssig=5VbAlXg%2FF3&KID=unistore,video&480",396,601,3955
real,1a213783461da197779f9f6a4f118e13,2020-02-18 17:12,43a971db6364c4ed7cd101feca243600,【#区长回应网传北京西城区政府停摆#：目前运转一切正常】2月18日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，西城区区长孙硕针对网传“西城区某部门出现一例新冠肺炎确诊病例，导致西城区政府工作停摆”的情况，表示西城区委区政府机关目前运转一切正常。孙硕说，西城区某部门的确发现一例新冠肺炎确诊病例。这名同志春节期间回河北任丘探亲，初六自驾车返京，初七正常上班投入到紧张的一线防疫工作中，其间体温监测一直正常，也没有任何明显症状。2月11日，这名同志突然接到老家疾控中心流调通知，其亲属诊断为新冠肺炎确诊病例。这名同志立即向单位和社区报告，马上进行居家隔离。区政府立刻组织这个单位的办公区域全面消毒。这名同志担心身体出问题，自行去医院就诊排查，之后被确定为新冠肺炎病例，属于轻症，目前正在定点医院救治。这名同志确诊后，西城区通过流行病学调查，划定密切接触者24人。为了最大范围控制风险，又划定了高风险人员45人。69名密切接触者及高风险人员，都采取了集中医学观察措施。（北京日报）,['https://wx1.sinaimg.cn/orj360/a716fd45ly1gc0ox5gczvj20ge0d0q4n.jpg'],,765,345,4949
real,89c3927b85cc27fea583677d00ee6454,2020-04-21 18:38,43a971db6364c4ed7cd101feca243600,【最新：#全球新冠肺炎感染人数超244万例#】截至北京时间4月21日16时，211个国家和地区累计确诊2441337例，“钻石公主”号邮轮712例，#全球累计死亡170075例#。转发关注#新冠肺炎疫情全球走势#↓↓ ​​​​,['https://wx3.sinaimg.cn/orj360/a716fd45gy1ge1ko47j6fj20u02dkx6q.jpg'],,670,606,3510
real,799a54dfe5472de93613dab44f22014e,2020-05-01 08:21,43a971db6364c4ed7cd101feca243600,【今天，发条微博，迎接#五月#】5月，向每一位奋斗中的劳动者致敬；5月，为奋斗中的青年点赞；5月，向妈妈表达爱意；5月，向抗疫逆行的医护致敬…这个温暖的季节来之不易，不蹉跎，不虚度！转存这份五月主题壁纸↓↓#2020年还剩下三分之二#，加油前行！ ​​​​,"['https://wx4.sinaimg.cn/orj360/a716fd45ly1gecn13iinwj20u01hcnpd.jpg', 'https://wx3.sinaimg.cn/orj360/a716fd45ly1gecn147th8j20u01hcnpd.jpg', 'https://wx4.sinaimg.cn/orj360/a716fd45ly1gecn13jx6tj20u01hc7wh.jpg', 'https://wx1.sinaimg.cn/orj360/a716fd45ly1gecn13jpc5j20u01hchdt.jpg', 'https://wx1.sinaimg.cn/orj360/a716fd45ly1gecn13j12fj20u01hcnpd.jpg', 'https://wx1.sinaimg.cn/orj360/a716fd45ly1gecn135v60j20u01hctni.jpg', 'https://wx4.sinaimg.cn/orj360/a716fd45ly1gecn13m17nj20u01hcqjl.jpg', 'https://wx4.sinaimg.cn/orj360/a716fd45ly1gecn13v3ytj20u01hcb29.jpg', 'https://wx2.sinaimg.cn/orj360/a716fd45ly1gecn147govj20u01hcb29.jpg']",,2471,10110,23223
real,477c1e86e80e7b29fbf719d188d3bcca,2020-08-02 10:21,43a971db6364c4ed7cd101feca243600,【#大连关停凯洋海鲜公司及周边企业#】今天上午，大连举行新冠肺炎疫情防控工作发布会。会上通报，疫情发生后，大连甘井子区在7月22日立即关停凯洋海鲜公司，转运企业人员进行集中隔离、核酸检测；7月23日，除保障群众生活和重要国计民生的企业正常运作外，对大连湾区域其他企业全部关停，对辖区全域实施封闭管理，居民居家观察，于25日全部完成核酸检测。L人民日报的微博视频,[],"http://f.video.weibocdn.com/9iWxb7txlx07FjzvqhVu010412009DHZ0E010.mp4?label=mp4_720p&template=1136x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&media_id=4533420181880839&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=h&lp=0000hUDeH&ps=4pdsh0&uid=79BroB&ab=3331-g1,966-g1&Expires=1600396893&ssig=7Gl0fahsb%2B&KID=unistore,video&480",354,255,1980
real,7bb5ebf58d89c6841e078d527287b3f6,2020-05-05 06:43,43a971db6364c4ed7cd101feca243600,【#美国新冠感染病例超过117万#，#新模型预测美国8月初死亡病例将超13万#】据美国约翰斯·霍普金斯大学疫情实时监测系统统计，截至美东时间5月4日下午5时32分，美国已有新冠病毒感染病例1177784例，其中包括死亡病例68442例。华盛顿大学健康指标与评估研究所(IHME)当天表示，对该所一项广受关注的疫情预测模型进行了修改。修改后的模型预测显示，到8月4日，美国将至少有13.4万人死于疫情。该研究所透露，此次建模策略修改后，整个模型将使用4家不同的手机供应商报告的移动数据，并使用数据反映过早放松“保持社交距离”政策对疫情发展的影响。（郑琪）,['https://wx3.sinaimg.cn/orj360/a716fd45ly1geh6ow5pe7j20ob0obk0y.jpg'],,1954,705,27852
real,9b87d4e401593bd8245103b73bf590f1,2020-05-22 09:52,43a971db6364c4ed7cd101feca243600,【#改革疾病预防控制体制#】李克强：加强公共卫生体系建设。坚持生命至上，改革疾病预防控制体制，#完善传染病直报和预警系统#，坚持及时公开透明发布疫情信息。用好抗疫特别国债，加大疫苗、药物和快速检测技术研发投入，增加防疫救治医疗设施，增加移动实验室，强化应急保障。深入开展爱国卫生运动。要大幅提升防控能力，坚决防止疫情反弹，坚决守护人民健康。,"['https://wx3.sinaimg.cn/thumb150/a716fd45ly1gf0znnjn4sj20rs1deb29.jpg', 'https://wx1.sinaimg.cn/thumb150/a716fd45ly1gf0znngwrpj20rs1deb29.jpg']",,159,286,1301
real,349cb11fe347d981965cf7dd5bf55c49,2020-05-08 11:08,43a971db6364c4ed7cd101feca243600,【#天津新增境外输入确诊1例#】记者从天津市疾控中心获悉，5月7日18时至8日6时，天津市新增报告境外输入新冠肺炎确诊病例1例（中国籍），累计报告境外输入确诊病例55例（中国籍51例、美国籍2例、法国籍1例、菲律宾籍1例），治愈出院53例，在院2例（普通型1例、分型待定1例）。　　第55例境外输入病例，女，47岁，工程师，中国籍，居住地法国巴黎。该患者于5月7日从法国巴黎乘CA934航班到天津滨海国际机场，入境时体温36.4℃，申报有腹泻症状，送空港医院发热门诊排查；经鼻、咽拭子核酸检测结果为阳性，经市专家组确诊为境外输入病例，分型待定；现已转往海河医院，有关流行病学调查正在进行中。（扎西）,['https://wx2.sinaimg.cn/orj360/a716fd45ly1gekv7m8i4vj20ob0obk0y.jpg'],,257,119,1103
real,60cad531efc206094856144423ca26e9,2020-06-20 07:01,43a971db6364c4ed7cd101feca243600,【#全球单日新增确诊超15万创新高#，#世卫组织称世界处于新的危险阶段#】世界卫生组织总干事谭德塞6月19日在例行记者会上表示，前一天各国向世卫组织报告确诊病例超过15万例，是疫情暴发以来报告新增确诊病例最多的一天。新增病例约一半来自美洲地区，南亚和中东也是新增病例较多的地区。谭德塞说，新冠病毒快速传播、威胁生命，当前世界仍然处于新的“危险阶段”。各国应继续采取保持社交距离，检测、隔离、治疗确诊病例，追踪密切接触者等基本防控措施，尤其是关注难民等脆弱群体。（人民日报记者张朋辉）L中报视频的秒拍视频,[],"http://miaopai.video.weibocdn.com/aDVQK4OMlx07EcD4RVdm01041200pi0W0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&media_id=4517756410724355&tp=3KSK0Vdc0WfNIVCOGYcCDV:2vpjVEncAucxkCZXXw&us=0&ori=1&bf=4&ot=h&lp=0000hUDeH&ps=4pdsh0&uid=7NVSz0&ab=3331-g1,966-g1&Expires=1600734533&ssig=HtobVtXqaG&KID=unistore,video&480",1663,1997,30705
real,387ffdd62425857f172b3e852ba770cd,2020-06-30 16:11,43a971db6364c4ed7cd101feca243600,#武汉公布各年级开学时间#【#武汉高中非毕业年级7月10日复学#】今天，武汉市新冠肺炎疫情防控指挥部发布通告，公布了各学段复学复课和校外培训机构线下复课的时间安排。一、2020年春季学期，高中阶段（含中职学校和技工学校）非毕业年级7月10日复学，7月31日起放暑假；初中阶段初一、初二年级7月5日结束线上教学，师生休假，8月10日返校复学至8月30日结束；小学及幼儿园7月5日起放暑假。二、2020年秋季学期，全市大中小学和幼儿园按照往年惯例开学。 三、高校非毕业年级学生本学期原则上不安排返校。确有特殊需要的，经本人自愿申请并经学校同意后可以返校。 四、校外合规教育培训机构经属地区疫情防控指挥部评估认定通过后，可以有序线下复课，时间不早于7月10日。据悉，武汉市高三、初三年级已分别于5月6日、5月20日统一开学。（田豆豆 周雯）,['https://wx1.sinaimg.cn/orj360/a716fd45ly1ggadt2okp3j20j60j6767.jpg'],,1107,414,5782
