label,id,date,user_name,user_id,text,pic_url,video_url,comments_num,repost_num,like_num
fake,4494815544688017,2020-04-17 21:43,暴烈甜心小鳄鱼毛毛,5288987897,头三张图来自网友投稿，河南郑州地铁内公益广告在致敬抗疫英雄，全部为男性照片，无一女性面孔@郑州地铁 抗疫期间，全国出征的女性医护占比90%。没有搜到河南的完整数据，但是已知河南第二批赴鄂支援女性占比2/3。你随手搜一下“河南援鄂医疗队”，无论是部队还是医院，无论是出征、送行、开会、迎接、表彰还是上央视/省台采访的现场图和视频，几乎全是女性。剩下的图片全是网上搜来的，你自己看看，几乎没几个男人。她们为你们拼过命，她们为你们上过战场，她们在保家卫国，最后换得你们抹杀功绩的对待吗？@河南日报 @郑州地铁 这明明是个杨家女将的故事，她们却始终不能拥有没有姓名，是吗？ ————————————————大家来找人，考考你眼力~来看看@郑州地铁 官微自己放的全部致敬图里，女性在哪儿☞O暴烈甜心小鳄鱼毛毛,"['https://wx1.sinaimg.cn/orj360/005LW3mpgy1gdx384hfjdj31jk15oh7a.jpg', 'https://wx4.sinaimg.cn/orj360/005LW3mpgy1gdx382kp5pj31jk15oaut.jpg', 'https://wx1.sinaimg.cn/orj360/005LW3mpgy1gdx383pyvdj31jk15o4n6.jpg', 'https://wx4.sinaimg.cn/orj360/005LW3mpgy1gdx38rcjwkj30qo0xo0yc.jpg', 'https://wx2.sinaimg.cn/orj360/005LW3mpgy1gdx37paz7wj30hs0dcmz9.jpg', 'https://wx1.sinaimg.cn/orj360/005LW3mpgy1gdx37ptqe6j30u00dtgog.jpg', 'https://wx1.sinaimg.cn/orj360/005LW3mpgy1gdx381fnwhj315o1qi7wh.jpg', 'https://wx1.sinaimg.cn/orj360/005LW3mpgy1gdx391o60ij30qo0ukwir.jpg', 'https://wx2.sinaimg.cn/orj360/005LW3mpgy1gdx37qb3jxj30hs0bvgmz.jpg', 'https://wx4.sinaimg.cn/thumb150/005LW3mpgy1gdx37ykgb0j30hs0dcab6.jpg', 'https://wx2.sinaimg.cn/thumb150/005LW3mpgy1gdx37rp83oj30u00gw1kx.jpg', 'https://wx4.sinaimg.cn/thumb150/005LW3mpgy1gdx37t7gl6j30u00k0ad5.jpg', 'https://wx4.sinaimg.cn/thumb150/005LW3mpgy1gdx37ut2uoj30p00e2k9p.jpg', 'https://wx3.sinaimg.cn/thumb150/005LW3mpgy1gdx37vlhtpj30p00e219n.jpg', 'https://wx2.sinaimg.cn/thumb150/005LW3mpgy1gdx37w5xjwj30u00gwtb3.jpg', 'https://wx4.sinaimg.cn/thumb150/005LW3mpgy1gdx37wv81hj30u00gwwgq.jpg', 'https://wx2.sinaimg.cn/thumb150/005LW3mpgy1gdx37xfb80j30u00gwq4y.jpg', 'https://wx2.sinaimg.cn/thumb150/005LW3mpgy1gdx37y0od2j30u00k0gnx.jpg']",,3853,12855,102379
fake,4495542212136388,2020-04-19 21:50,hscr槐树传人,5794412498,哈尔滨二次封城开始了！ 2新乡 Lhscr槐树传人的微博视频 ​​​​,[],"http://f.video.weibocdn.com/RJogGeUBlx07CCR5TT20010412008Z5a0E010.mp4?label=mp4_hd&template=384x640.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&media_id=4495541900607538&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599277681&ssig=%2BS2r%2BKZs%2BG&KID=unistore,video&480",19,0,12
fake,4485377286774332,2020-03-22 20:39,安吉拉频道,6363387824,不愧是战斗民族#全球疫情##俄罗斯放狮子上街# ​​​​,[],,22,4,135
fake,4484804148387998,2020-03-21 06:41,元亨号茶话,1257879132,美国的10艘医疗军舰已经开进纽约港，每艘船上有1000张病床，上面拥有所有的医疗抢救设施，每艘船相当于一个雷神山医院。 L元亨号茶庄的微博视频 ​​​​,[],"http://f.video.weibocdn.com/clfdy8JYlx07BRAON2HK0104120026Ir0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&media_id=4484803827793923&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=h&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599334382&ssig=wcWD%2FOxN5n&KID=unistore,video&480",0,0,0
fake,4485600192916690,2020-03-23 11:24,小逗比神吐槽,2476481021,网传俄罗斯为确保疫情期间民众待在室内，放出去500头狮子。太迷了吧，这么硬核，很俄罗斯，看起来都不像假新闻了，不过为什么不是熊呢？#俄罗斯疫情# ​​​​,"['https://wx2.sinaimg.cn/thumb150/939c19fdgy1gd3p605c7ej20v80hkdhi.jpg', 'https://wx3.sinaimg.cn/thumb150/939c19fdgy1gd3p61hdk2j20iv0ogdiu.jpg']",,148,113,215
fake,4482853075065294,2020-03-15 21:28,连锋医生,2204260377,（转自 头条 良医济世）一个美国国籍的华人感染新冠了，听说国内免费治疗，且非常有经验，一家三口吃了一倍量的退烧药逃避防疫检查回到中国，（注意他说的是回到祖国，其实国籍已变，美国才是他的祖国），第二天得知，治疗费用自己掏，非常不满，询问在哪里投诉？是否可以募捐？巨婴，我建议你打美国大使馆投诉吧。近日北京明确指出，对于国内没有医保的，原则上都是自费。医保是国内人纳税人的钱，你没有再国内尽义务，却想享受国内福利，凭什么啊？,"['https://wx4.sinaimg.cn/orj360/83625819gy1gcuxo7o9nqj20qo1ka1kx.jpg', 'https://wx3.sinaimg.cn/orj360/83625819gy1gcuxo6cefej20qo1benb8.jpg']",,684,101,4833
fake,4517166274071703,2020-06-18 13:57,捍卫者,2612455141,84岁的高龄钟南山 院士，再次出征北京，心系人民，迎难而上，报效国家，他就是最最耀眼的一颗星，为钟老点赞👍 #抗疫行动##致敬英雄 # L捍卫者的微博视频 ​​​​,[],"http://f.video.weibocdn.com/004pDYlIgx07Ea2003Ko010412004cqz0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&media_id=4517166226276372&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599019420&ssig=or2XZRrxkN&KID=unistore,video&480",2,10,87
fake,4517142294430936,2020-06-18 12:21,华子敬言,3537077677,84岁高龄的钟南山院士，再次出征北京，心系人民，迎难而上，报效国家，他就是最耀眼的一颗星，为钟老点赞#北京要求最短时间内找到所有密接者##北京为核酸检测人员安排轮休# L华子敬言的微博视频 ​​​​,[],"http://f.video.weibocdn.com/dGvoL4Ftlx07E9VshdXO010412003bS50E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&media_id=4517142213885956&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=4&ot=v&lp=0000hUDeH&ps=4pdsh0&uid=3vCCKw&ab=966-g1&Expires=1599020693&ssig=jNhWFhAKGK&KID=unistore,video&480",889,605,20266
fake,4490826018906300,2020-04-06 21:30,Roos邹,3705686447,张文宏医生自爆收入和全家福。69年生人，浙江瑞安人，从小喜欢读书。学习成绩优秀，在老家被邻里称为神童。高考考入上海医学院，8年硕博连读后留学。现是全球知名的传染病专家。自爆年收入184万，来源于3个方面:1，华山医院呼吸科主任，工资奖金年入50万2，国家重点项目学科带头人，年入120万3，每年在全球顶尖医学杂志（柳叶刀）上发表一篇署名论文，专利费2万美元。首个 公布 财产 的医生一个干净的人！[强]在看看院士高福！号称在“柳叶刀”上发表过500多篇论文。是不是也应该公布一下自己的收入呢？张文宏  大浙江 2北京·北京天坛饭店,"['https://wx2.sinaimg.cn/orj360/dce049afly1gdkdcgnrjlj20dw07xwgo.jpg', 'https://wx4.sinaimg.cn/orj360/dce049afly1gdkdchlnaqj20eu08ctal.jpg', 'https://wx3.sinaimg.cn/orj360/dce049afly1gdkdci44ktj20hs0aqacz.jpg', 'https://wx1.sinaimg.cn/orj360/dce049afly1gdkdciuk2hj20jg0p6wnn.jpg']",,0,1,1
fake,4474525762882990,2020-02-21 21:58,关爱老实人吧,1884621771,#日本将恢复从中国进口口罩#柬埔寨首相也感染上了，汗…这世界怎么了 ​​​​,[],,1,0,2
